'Approximating infinite systems by finite ones','http://math.sustech.edu.cn/hall/10581.html','Dr.Yiqiang Q. Zhao 博士  Carleton Univers','2017-7-26','Math','慧园3栋415报告厅',
' Bank monitoring incentives under moral hazard and  adverse selection','http://math.sustech.edu.cn/hall/10535.html','Prof. Chao Zhou ','2017-7-14','Math','慧园3栋415报告厅',
'Numerical Methods for Hyperbolic Systems of PDEs with Uncertainties','http://math.sustech.edu.cn/hall/10522.html','Prof. Alina Chertock    ','2017-7-11','Math','慧园3栋415报告厅',
'Stochastic Algorithms for Electromagnetic Problems of Nano-Structures','http://math.sustech.edu.cn/hall/10523.html','Prof. Wei Cai','2017-7-10','Math','慧园3栋415报告厅',
'Graph Cut, Convex Relaxation and Continuous Max-flow methods for image processing and computer vision','http://math.sustech.edu.cn/hall/10473.html','台雪成教授  香港浸会大学','2017-6-29','Math','慧园3栋415报告厅',
'Applications of Linear Algebraic Methods in Combinatorics and Finite Geometry','http://math.sustech.edu.cn/hall/10430.html','向青教授  美国特拉华大学  ','2017-6-27','Math','慧园3栋415报告厅',
'Statistical Challenges, Opportunities,  and Strategies in Large-Scale Medical Studies','http://math.sustech.edu.cn/hall/10421.html','朱宏图教授 University of Texas, MD Anderson Cancer Center','2017-6-15','Math','慧园3栋415报告厅',
'Stabile or Unstable? Games with Modified Eikonal Splitting Schemes for Paraxial Helmholtz Equations Modeling Light Beam Propagations','http://math.sustech.edu.cn/hall/10373.html','Qin Sheng(贝勒大学)','2017-6-8','Math','慧园3栋415报告厅',
'A survey on the stability of fluids','http://math.sustech.edu.cn/hall/10382.html','丁时进(华南师范大学)','2017-5-31','Math','科教服务中心706',
'Dragon-Kings: the nature of extreme crises, statistical tools, generating mechanisms, prediction and control','http://math.sustech.edu.cn/hall/10409.html','Didier Sornette, Swiss Federal Institute of Technology Zurich ','2017-5-26','Math','图书馆110报告厅',
